model,strategy,warm_start,role,dataset,iteration,accuracy_mean,accuracy_sem,n_seeds
deep_gp_expr,entropy_batch,warm,al,train,45,0.741298,,1
deep_gp_expr,entropy_batch,warm,al,train,46,0.735310,,1
deep_gp_expr,entropy_batch,warm,al,train,47,0.729549,,1
deep_gp_expr,entropy_batch,warm,al,train,48,0.731508,,1
deep_gp_expr,entropy_batch,warm,al,train,49,0.730050,,1
deep_gp_expr,entropy_batch,warm,al,train,50,0.732475,,1
deep_gp_expr,entropy_batch,warm,al,train,51,0.720641,,1
deep_gp_expr,entropy_batch,warm,al,train,52,0.733134,,1
deep_gp_expr,entropy_batch,warm,al,train,53,0.720716,,1
deep_gp_expr,entropy_batch,warm,al,train,54,0.715983,,1
deep_gp_expr,entropy_batch,warm,al,train,55,0.728580,,1
deep_gp_expr,entropy_batch,warm,al,train,56,0.721478,,1
deep_gp_expr,entropy_batch,warm,al,train,57,0.721904,,1
deep_gp_expr,entropy_batch,warm,al,train,58,0.711411,,1
deep_gp_expr,entropy_batch,warm,al,train,59,0.724109,,1
deep_gp_expr,entropy_batch,warm,al,train,60,0.708514,,1
deep_gp_expr,entropy_batch,warm,al,train,61,0.718652,,1
deep_gp_expr,entropy_batch,warm,al,train,62,0.718052,,1
deep_gp_expr,entropy_batch,warm,al,train,63,0.703886,,1
deep_gp_expr,entropy_batch,warm,al,train,64,0.705559,,1
deep_gp_expr,entropy_batch,warm,al,train,65,0.711785,,1
deep_gp_expr,entropy_batch,warm,al,train,66,0.710287,,1
deep_gp_expr,entropy_batch,warm,al,train,67,0.708066,,1
deep_gp_expr,entropy_batch,warm,al,train,68,0.713529,,1
deep_gp_expr,entropy_batch,warm,al,train,69,0.708766,,1
deep_gp_expr,entropy_batch,warm,al,train,70,0.712354,,1
deep_gp_expr,entropy_batch,warm,al,train,71,0.695378,,1
deep_gp_expr,entropy_batch,warm,al,train,72,0.712890,,1
deep_gp_expr,entropy_batch,warm,al,train,73,0.708447,,1
deep_gp_expr,entropy_batch,warm,al,train,74,0.706446,,1
deep_gp_expr,entropy_batch,warm,al,train,75,0.705418,,1
deep_gp_expr,entropy_batch,warm,al,train,76,0.699194,,1
deep_gp_expr,entropy_batch,warm,al,train,77,0.700687,,1
deep_gp_expr,entropy_batch,warm,al,train,78,0.696899,,1
deep_gp_expr,entropy_batch,warm,al,train,79,0.703495,,1
deep_gp_expr,entropy_batch,warm,al,train,80,0.715469,,1
deep_gp_expr,entropy_batch,warm,al,train,81,0.707371,,1
deep_gp_expr,entropy_batch,warm,al,train,82,0.696945,,1
deep_gp_expr,entropy_batch,warm,al,train,83,0.686119,,1
deep_gp_expr,entropy_batch,warm,al,train,84,0.697217,,1
deep_gp_expr,entropy_batch,warm,al,train,85,0.698754,,1
deep_gp_expr,entropy_batch,warm,al,train,86,0.691012,,1
deep_gp_expr,entropy_batch,warm,al,train,87,0.701194,,1
deep_gp_expr,entropy_batch,warm,al,train,88,0.697301,,1
deep_gp_expr,entropy_batch,warm,al,train,89,0.689985,,1
deep_gp_expr,entropy_batch,warm,al,train,90,0.682619,,1
deep_gp_expr,entropy_batch,warm,al,train,91,0.694346,,1
deep_gp_expr,entropy_batch,warm,al,train,92,0.695638,,1
deep_gp_expr,entropy_batch,warm,al,train,93,0.687440,,1
deep_gp_expr,entropy_batch,warm,al,train,94,0.686118,,1
deep_gp_expr,entropy_batch,warm,al,train,95,0.696190,,1
deep_gp_expr,entropy_batch,warm,al,train,96,0.691201,,1
deep_gp_expr,entropy_batch,warm,al,train,97,0.690131,,1
deep_gp_expr,entropy_batch,warm,al,train,98,0.692020,,1
deep_gp_expr,entropy_batch,warm,al,train,99,0.693797,,1
deep_gp_expr,entropy_batch,warm,al,train,100,0.690162,,1
deep_gp_expr,entropy_batch,warm,al,train,101,0.687951,,1
deep_gp_expr,entropy_batch,warm,al,train,102,0.687965,,1
deep_gp_expr,entropy_batch,warm,al,train,103,0.692639,,1
deep_gp_expr,entropy_batch,warm,al,train,104,0.683830,,1
deep_gp_expr,entropy_batch,warm,al,train,105,0.671233,,1
deep_gp_expr,entropy_batch,warm,al,train,106,0.682961,,1
deep_gp_expr,entropy_batch,warm,al,train,107,0.683233,,1
deep_gp_expr,entropy_batch,warm,al,train,108,0.689305,,1
deep_gp_expr,entropy_batch,warm,al,train,109,0.680352,,1
deep_gp_expr,entropy_batch,warm,al,train,110,0.670795,,1
deep_gp_expr,entropy_batch,warm,al,train,111,0.676409,,1
deep_gp_expr,entropy_batch,warm,al,train,112,0.677827,,1
deep_gp_expr,entropy_batch,warm,al,train,113,0.677623,,1
deep_gp_expr,entropy_batch,warm,al,train,114,0.691515,,1
deep_gp_expr,entropy_batch,warm,al,train,115,0.686230,,1
deep_gp_expr,entropy_batch,warm,al,train,116,0.686221,,1
deep_gp_expr,entropy_batch,warm,al,train,117,0.688017,,1
deep_gp_expr,entropy_batch,warm,al,train,118,0.685514,,1
deep_gp_expr,entropy_batch,warm,al,train,119,0.683829,,1
deep_gp_expr,entropy_batch,warm,al,train,120,0.674021,,1
deep_gp_expr,entropy_batch,warm,al,train,121,0.680975,,1
deep_gp_expr,entropy_batch,warm,al,train,122,0.681595,,1
deep_gp_expr,entropy_batch,warm,al,train,123,0.677844,,1
deep_gp_expr,entropy_batch,warm,al,train,124,0.673986,,1
deep_gp_expr,entropy_batch,warm,al,val,1,0.811500,0.006736,5
deep_gp_expr,entropy_batch,warm,al,val,2,0.796619,0.011773,5
deep_gp_expr,entropy_batch,warm,al,val,3,0.761663,0.008855,5
deep_gp_expr,entropy_batch,warm,al,val,4,0.761414,0.010250,5
